"","Tournament_Game","Year","Month","Day","Team1","Team1_Seed","Team1_Score","Team2","Team2_Seed","Team2_Score"
"5","NCAA, Southeast - Second Round","2011","3","17","Pitt",1,"74","UNC Asheville",16,"51"
"6","NCAA, Southeast - Second Round","2011","3","17","Florida",2,"79","UCSB",15,"51"
"7","NCAA, West - Second Round","2011","3","17","San Diego State",2,"68","Northern Colorado",15,"50"
"8","NCAA, West - Second Round","2011","3","17","UConn",3,"81","Bucknell",14,"52"
"9","NCAA, Southeast - Second Round","2011","3","17","Wofford",14,"66","BYU",3,"74"
"10","NCAA, Southwest - Second Round","2011","3","17","Morehead State",13,"62","Louisville",4,"61"
"11","NCAA, East - Second Round","2011","3","17","Princeton",13,"57","Kentucky",4,"59"
"12","NCAA, Southeast - Second Round","2011","3","17","Wisconsin",4,"72","Belmont",13,"58"
"13","NCAA, Southeast - Second Round","2011","3","17","Utah State",12,"68","Kansas State",5,"73"
"14","NCAA, Southwest - Second Round","2011","3","17","Vanderbilt",5,"66","Richmond",12,"69"
"15","NCAA, East - Second Round","2011","3","17","West Virginia",5,"84","Clemson",12,"76"
"16","NCAA, West - Second Round","2011","3","17","Missouri",11,"63","Cincinnati",6,"78"
"17","NCAA, Southeast - Second Round","2011","3","17","St Johns NY",6,"71","Gonzaga",11,"86"
"18","NCAA, West - Second Round","2011","3","17","Temple",7,"66","Penn State",10,"64"
"19","NCAA, Southeast - Second Round","2011","3","17","UCLA",7,"78","Michigan State",10,"76"
"20","NCAA, Southeast - Second Round","2011","3","17","Old Dominion",9,"58","Butler",8,"60"
"21","NCAA, West - Second Round","2011","3","18","Hampton",16,"45","Duke",1,"87"
"22","NCAA, Southwest - Second Round","2011","3","18","Kansas",1,"72","Boston University",16,"53"
"23","NCAA, East - Second Round","2011","3","18","UTSA",16,"46","Ohio State",1,"75"
"24","NCAA, East - Second Round","2011","3","18","UNC",2,"102","LIU",15,"87"
"25","NCAA, Southwest - Second Round","2011","3","18","Notre Dame",2,"69","Akron",15,"56"
"26","NCAA, Southwest - Second Round","2011","3","18","St Peters",14,"43","Purdue",3,"65"
"27","NCAA, East - Second Round","2011","3","18","Syracuse",3,"77","Indiana State",14,"60"
"28","NCAA, West - Second Round","2011","3","18","Texas",4,"85","Oakland",13,"81"
"29","NCAA, West - Second Round","2011","3","18","Memphis",12,"75","Arizona",5,"77"
"30","NCAA, Southwest - Second Round","2011","3","18","VCU",11,"74","Georgetown",6,"56"
"31","NCAA, East - Second Round","2011","3","18","Xavier",6,"55","Marquette",11,"66"
"32","NCAA, Southwest - Second Round","2011","3","18","Texas AM",7,"50","Florida State",10,"57"
"33","NCAA, East - Second Round","2011","3","18","Washington",7,"68","Georgia",10,"65"
"34","NCAA, Southwest - Second Round","2011","3","18","UNLV",8,"62","Illinois",9,"73"
"35","NCAA, West - Second Round","2011","3","18","Tennessee",9,"45","Michigan",8,"75"
"36","NCAA, East - Second Round","2011","3","18","Villanova",9,"57","George Mason",8,"61"
"37","NCAA, Southeast - Third Round","2011","3","19","Pitt",1,"70","Butler",8,"71"
"38","NCAA, West - Third Round","2011","3","19","Temple",7,"64","San Diego State",2,"71"
"39","NCAA, Southeast - Third Round","2011","3","19","UCLA",7,"65","Florida",2,"73"
"40","NCAA, West - Third Round","2011","3","19","UConn",3,"69","Cincinnati",6,"58"
"41","NCAA, Southeast - Third Round","2011","3","19","Gonzaga",11,"67","BYU",3,"89"
"42","NCAA, East - Third Round","2011","3","19","West Virginia",5,"63","Kentucky",4,"71"
"43","NCAA, Southeast - Third Round","2011","3","19","Wisconsin",4,"70","Kansas State",5,"65"
"44","NCAA, Southwest - Third Round","2011","3","19","Richmond",12,"65","Morehead State",13,"48"
"45","NCAA, Southwest - Third Round","2011","3","20","Kansas",1,"73","Illinois",9,"59"
"46","NCAA, West - Third Round","2011","3","20","Michigan",8,"71","Duke",1,"73"
"47","NCAA, East - Third Round","2011","3","20","Ohio State",1,"98","George Mason",8,"66"
"48","NCAA, Southwest - Third Round","2011","3","20","Notre Dame",2,"57","Florida State",10,"71"
"49","NCAA, East - Third Round","2011","3","20","Washington",7,"83","UNC",2,"86"
"50","NCAA, East - Third Round","2011","3","20","Syracuse",3,"62","Marquette",11,"66"
"51","NCAA, Southwest - Third Round","2011","3","20","VCU",11,"94","Purdue",3,"76"
"52","NCAA, West - Third Round","2011","3","20","Texas",4,"69","Arizona",5,"70"
"53","NCAA, West - Regional Semifinal","2011","3","24","Duke",1,"77","Arizona",5,"93"
"54","NCAA, Southeast - Regional Semifinal","2011","3","24","Florida",2,"83","BYU",3,"74"
"55","NCAA, West - Regional Semifinal","2011","3","24","San Diego State",2,"67","UConn",3,"74"
"56","NCAA, Southeast - Regional Semifinal","2011","3","24","Wisconsin",4,"54","Butler",8,"61"
"57","NCAA, East - Regional Semifinal","2011","3","25","Ohio State",1,"60","Kentucky",4,"62"
"58","NCAA, Southwest - Regional Semifinal","2011","3","25","Richmond",12,"57","Kansas",1,"77"
"59","NCAA, East - Regional Semifinal","2011","3","25","UNC",2,"81","Marquette",11,"63"
"60","NCAA, Southwest - Regional Semifinal","2011","3","25","VCU",11,"72","Florida State",10,"71"
"61","NCAA, Southeast - Regional Final","2011","3","26","Florida",2,"71","Butler",8,"74"
"62","NCAA, West - Regional Final","2011","3","26","UConn",3,"65","Arizona",5,"63"
"63","NCAA, Southwest - Regional Final","2011","3","27","VCU",11,"71","Kansas",1,"61"
"64","NCAA, East - Regional Final","2011","3","27","UNC",2,"69","Kentucky",4,"76"
"65","NCAA, National - National Semifinal","2011","4","2","Kentucky",4,"55","UConn",3,"56"
"66","NCAA, National - National Semifinal","2011","4","2","VCU",11,"62","Butler",8,"70"
"67","NCAA, National - National Final","2011","4","4","UConn",3,"53","Butler",8,"41"
"72","NCAA, East - Second Round","2012","3","15","Syracuse",1,"72","UNC Asheville",16,"65"
"73","NCAA, South - Second Round","2012","3","15","Western Kentucky",16,"66","Kentucky",1,"81"
"74","NCAA, East - Second Round","2012","3","15","Ohio State",2,"78","Loyola MD",15,"59"
"75","NCAA, West - Second Round","2012","3","15","Marquette",3,"88","BYU",14,"68"
"76","NCAA, South - Second Round","2012","3","15","South Dakota State",14,"60","Baylor",3,"68"
"77","NCAA, West - Second Round","2012","3","15","Louisville",4,"69","Davidson",13,"62"
"78","NCAA, South - Second Round","2012","3","15","New Mexico State",13,"66","Indiana",4,"79"
"79","NCAA, East - Second Round","2012","3","15","Wisconsin",4,"73","Montana",13,"49"
"80","NCAA, West - Second Round","2012","3","15","New Mexico",5,"75","Long Beach State",12,"68"
"81","NCAA, East - Second Round","2012","3","15","Vanderbilt",5,"79","Harvard",12,"70"
"82","NCAA, South - Second Round","2012","3","15","Wichita State",5,"59","VCU",12,"62"
"83","NCAA, West - Second Round","2012","3","15","Murray State",6,"58","Colorado State",11,"41"
